group,year,plant_id,target,rows,duration_days,image_count_total,sensor_mode,direct_sensor_files
2023_121,2023,121,910.0,86,85,398,date_fallback,0
2023_122,2023,122,868.0,86,85,398,date_fallback,0
2023_123,2023,123,1014.8,86,85,398,date_fallback,0
2023_221,2023,221,884.8,86,85,398,date_fallback,0
2023_222,2023,222,933.4,86,85,398,date_fallback,0
2023_223,2023,223,945.6,86,85,398,date_fallback,0
2023_224,2023,224,1118.6,86,85,398,date_fallback,0
2023_225,2023,225,812.0,86,85,398,date_fallback,0
2023_226,2023,226,760.8,86,85,398,date_fallback,0
2023_321,2023,321,835.1,86,85,398,date_fallback,0
2023_322,2023,322,821.0,86,85,398,date_fallback,0
2023_323,2023,323,1046.8,86,85,398,date_fallback,0
2023_324,2023,324,1041.2,86,85,259,date_fallback,0
2023_325,2023,325,1070.0,86,85,259,date_fallback,0
2023_326,2023,326,1134.6,86,85,259,date_fallback,0
2023_421,2023,421,987.16,86,85,398,date_fallback,0
2023_422,2023,422,1093.4,86,85,398,date_fallback,0
2023_423,2023,423,1070.67,86,85,398,date_fallback,0
2023_521,2023,521,1008.8,86,85,398,date_fallback,0
2023_522,2023,522,991.4,86,85,398,date_fallback,0
2023_523,2023,523,1078.2,86,85,398,date_fallback,0
2023_524,2023,524,1125.3,86,85,398,date_fallback,0
2023_525,2023,525,1087.0,86,85,398,date_fallback,0
2023_526,2023,526,1124.4,86,85,398,date_fallback,0
2023_527,2023,527,1451.6,86,85,274,date_fallback,0
2023_528,2023,528,1306.8,86,85,274,date_fallback,0
2023_529,2023,529,1158.2,86,85,274,date_fallback,0
2023_621,2023,621,1174.0,86,85,398,date_fallback,0
2023_622,2023,622,1112.9,86,85,398,date_fallback,0
2023_623,2023,623,1220.2,86,85,398,date_fallback,0
2023_624,2023,624,1096.5,86,85,274,date_fallback,0
2023_625,2023,625,1254.0,86,85,274,date_fallback,0
2023_626,2023,626,1260.0,86,85,279,date_fallback,0
2023_721,2023,721,1128.0,86,85,259,date_fallback,0
2023_722,2023,722,1065.6,86,85,254,date_fallback,0
2023_723,2023,723,1093.6,86,85,254,date_fallback,0
2023_724,2023,724,1070.4,86,85,254,date_fallback,0
2023_725,2023,725,1120.8,86,85,254,date_fallback,0
2023_726,2023,726,1081.6,86,85,254,date_fallback,0
2024_CK11,2024,CK11,210.0,54,53,224,date_fallback,0
2024_CK12,2024,CK12,166.65,54,53,224,date_fallback,0
2024_CK13,2024,CK13,175.0,54,53,224,date_fallback,0
2024_CK14,2024,CK14,820.0,54,53,224,date_fallback,0
2024_CK15,2024,CK15,464.25,54,53,224,date_fallback,0
2024_CK16,2024,CK16,536.65,54,53,224,date_fallback,0
2024_CK21,2024,CK21,706.2,54,53,224,date_fallback,0
2024_CK22,2024,CK22,719.1,54,53,224,date_fallback,0
2024_CK23,2024,CK23,824.55,54,53,224,date_fallback,0
2024_CK24,2024,CK24,613.025,54,53,224,date_fallback,0
2024_CK25,2024,CK25,679.38,54,53,224,date_fallback,0
2024_CK26,2024,CK26,831.42,54,53,224,date_fallback,0
2024_L111,2024,L111,540.85,54,53,223,date_fallback,0
2024_L112,2024,L112,651.0,54,53,223,date_fallback,0
2024_L113,2024,L113,250.0,54,53,223,date_fallback,0
2024_L121,2024,L121,683.65,54,53,223,date_fallback,0
2024_L122,2024,L122,361.5,54,53,223,date_fallback,0
2024_L123,2024,L123,270.32,54,53,223,date_fallback,0
2024_L211,2024,L211,379.3,54,53,223,date_fallback,0
2024_L212,2024,L212,229.15,54,53,223,date_fallback,0
2024_L213,2024,L213,55.0,54,53,223,date_fallback,0
2024_L214,2024,L214,881.25,54,53,226,date_fallback,0
2024_L215,2024,L215,740.0,54,53,226,date_fallback,0
2024_L216,2024,L216,916.65,54,53,226,date_fallback,0
2024_L221,2024,L221,701.68,54,53,223,date_fallback,0
2024_L222,2024,L222,712.8,54,53,223,date_fallback,0
2024_L223,2024,L223,773.48,54,53,223,date_fallback,0
2024_L224,2024,L224,524.3,54,53,226,date_fallback,0
2024_L225,2024,L225,561.0,54,53,226,date_fallback,0
2024_L226,2024,L226,687.125,54,53,226,date_fallback,0
2024_L311,2024,L311,805.0,54,53,226,date_fallback,0
2024_L312,2024,L312,750.0,54,53,226,date_fallback,0
2024_L313,2024,L313,620.0,54,53,226,date_fallback,0
2024_L321,2024,L321,723.58,54,53,226,date_fallback,0
2024_L322,2024,L322,685.44,54,53,226,date_fallback,0
2024_L323,2024,L323,644.0,54,53,226,date_fallback,0
2024_L411,2024,L411,810.9,54,53,224,date_fallback,0
2024_L412,2024,L412,150.0,54,53,224,date_fallback,0
2024_L413,2024,L413,1062.5,54,53,224,date_fallback,0
2024_L421,2024,L421,920.64,54,53,224,date_fallback,0
2024_L422,2024,L422,797.27,54,53,224,date_fallback,0
2024_L423,2024,L423,759.69,54,53,224,date_fallback,0
2024_L511,2024,L511,150.0,54,53,226,date_fallback,0
2024_L512,2024,L512,575.0,54,53,226,date_fallback,0
2024_L513,2024,L513,646.25,54,53,226,date_fallback,0
2024_L514,2024,L514,825.0,54,53,225,date_fallback,0
2024_L515,2024,L515,102.5,54,53,225,date_fallback,0
2024_L516,2024,L516,252.5,54,53,225,date_fallback,0
2024_L521,2024,L521,143.1,54,53,226,date_fallback,0
2024_L522,2024,L522,731.43,54,53,226,date_fallback,0
2024_L523,2024,L523,692.16,54,53,226,date_fallback,0
2024_L524,2024,L524,283.125,54,53,225,date_fallback,0
2024_L525,2024,L525,738.1,54,53,225,date_fallback,0
2024_L526,2024,L526,778.8,54,53,225,date_fallback,0
2024_L611,2024,L611,0.0,54,53,226,date_fallback,0
2024_L612,2024,L612,0.0,54,53,226,date_fallback,0
2024_L613,2024,L613,325.35,54,53,226,date_fallback,0
2024_L614,2024,L614,360.5,54,53,225,date_fallback,0
2024_L615,2024,L615,466.5,54,53,225,date_fallback,0
2024_L616,2024,L616,180.75,54,53,225,date_fallback,0
2024_L621,2024,L621,0.0,54,53,226,date_fallback,0
2024_L622,2024,L622,267.75,54,53,226,date_fallback,0
2024_L623,2024,L623,482.16,54,53,226,date_fallback,0
2024_L624,2024,L624,565.25,54,53,225,date_fallback,0
2024_L625,2024,L625,563.76,54,53,225,date_fallback,0
2024_L626,2024,L626,1144.48,54,53,225,date_fallback,0
2024_R114,2024,R114,819.65,54,53,224,date_fallback,0
