repeat,model,seconds
0,All baselines,1.639746484997886
0,CMGT-DINO,5.630818623998493
1,All baselines,1.5485233970030094
1,CMGT-DINO,5.681890882002335
2,All baselines,1.5632859779980208
2,CMGT-DINO,5.669422819999454
3,All baselines,1.5611434750026092
3,CMGT-DINO,5.7299000790007995
4,All baselines,1.5898725419974653
4,CMGT-DINO,5.687673956999788
5,All baselines,1.5791529169982823
5,CMGT-DINO,5.684205135999946
6,All baselines,1.554996836999635
6,CMGT-DINO,5.670892022000771
7,All baselines,1.6912851000015507
7,CMGT-DINO,5.580632651002816
8,All baselines,1.5541194409997843
8,CMGT-DINO,5.714709583997319
9,All baselines,1.545461379999324
9,CMGT-DINO,5.848114902000816
10,All baselines,1.5247545759993955
10,CMGT-DINO,5.623105127000599
11,All baselines,1.5290613800025312
11,CMGT-DINO,5.583850752002036
12,All baselines,1.5485550070006866
12,CMGT-DINO,5.650735156999872
13,All baselines,1.5559281019995979
13,CMGT-DINO,5.574891357002343
14,All baselines,1.5546090520001599
14,CMGT-DINO,5.617345001999638
15,All baselines,1.5106492079976306
15,CMGT-DINO,5.625550644999748
16,All baselines,1.5463052679988323
16,CMGT-DINO,5.712532233999809
17,All baselines,1.5617934220026655
17,CMGT-DINO,5.699253505001252
18,All baselines,1.5716186440004094
18,CMGT-DINO,5.710661450000771
19,All baselines,1.5137741020007525
19,CMGT-DINO,5.627407650998066
