feature,RMSE_increase_mean,RMSE_increase_std
phenotype_signature__late_variability,6.34451148468828,2.4777621124422775
image_signature__early_variability,4.3763866789526675,0.989439603678514
phenotype_environment__acceleration_agreement,3.050516467409932,0.6310047704000481
phenotype_environment__direction_product,2.497617637970336,0.6448455994322875
phenotype_signature__direction_consistency,2.485417211553886,1.3687310689769485
phenotype_environment__cosine,2.140875760792153,3.146582248226689
image_phenotype__cosine,1.3204258150982242,0.6544509897682047
phenotype_signature__em_magnitude,1.3085857163694983,0.23518814518288414
phenotype_environment__correlation,1.2851761730566067,0.9749093165655506
image_environment__correlation,1.2113896146185197,0.6411556055072317
phenotype_environment__ml_product,1.1051310380900077,0.5411474621939837
image_phenotype__acceleration_agreement,1.0297363890914313,0.883719433355314
phenotype_environment__mean_abs_difference,0.7086108898553107,4.441775652489914
image_environment__el_product,0.7050710951855308,0.20703335201906195
image_phenotype__em_product,0.6827290205416034,0.9154252105183865
phenotype_environment__em_product,0.6614895930446665,0.4537499178862705
image_signature__direction_consistency,0.6428047174926064,0.18376905258324813
environment_signature__ml_magnitude,0.6024990407409291,0.24349995536202315
image_signature__late_variability,0.5747802228931164,0.9772998903577422
image_signature__acceleration,0.4990304892949098,0.081066967092877
environment_signature__early_variability,0.4122261839953694,1.396152175598304
image_phenotype__mean_abs_difference,0.2425089153575982,0.603674792426854
image_environment__acceleration_agreement,0.20451054226891757,0.3959806177722512
image_signature__el_magnitude,0.17638084860896014,0.3328794164361226
phenotype_signature__el_magnitude,0.16452421491144378,0.46444646758548214
image_environment__direction_product,0.1475770271447118,0.1012872086277099
image_environment__mean_abs_difference,0.12892467549168032,0.3912480519653145
phenotype_environment__el_product,0.10526853313973561,0.7213752658099378
image_phenotype__correlation,0.03368075168646101,0.6747599275585705
environment_signature__el_magnitude,0.02471876948349063,0.2394731178033932
image_signature__em_magnitude,-0.034536761974788985,0.1815266777873443
image_phenotype__el_product,-0.0993608439554805,0.35001394109060946
image_environment__cosine,-0.11882965512744477,0.2909903666685357
image_signature__ml_magnitude,-0.12944232533441208,0.12982199170780576
tri_modal_cosine_mean,-0.14059222486622502,0.2405444280174559
image_environment__ml_product,-0.19754961929676257,0.12744761163832952
phenotype_signature__ml_magnitude,-0.21189506929231355,0.6448463201916903
environment_signature__em_magnitude,-0.23614845842599835,0.3164280417047403
environment_signature__acceleration,-0.34498043816545304,0.21825032954341542
image_environment__em_product,-0.36192183729644967,0.17062036372485076
phenotype_signature__acceleration,-0.4341374068043365,0.2572082174454708
image_phenotype__ml_product,-0.4861408782553099,0.6061537998357972
phenotype_signature__early_variability,-0.6991108267725735,0.4032179614365142
tri_modal_growth_product,-0.7229396540709558,0.3353870860577515
environment_signature__late_variability,-0.7380625086961686,0.3556368942317716
image_phenotype__direction_product,-0.80449778430077,0.35612957777787385
environment_signature__direction_consistency,-0.9792316627451555,1.8889401817374434
tri_modal_cosine_std,-2.0641773968991743,0.7767941338439067
