year,date,plant_id,plant_id_raw,group,manual_csv,growth_source,photo_raw,sensor_raw,target,target_source_file,target_source_sheet,target_source_id,target_rows_aggregated,id_mapping_method,tab__lai,tab__ldw,tab__leaf_angle,tab__leaf_area,tab__leaf_length,tab__leaf_width,tab__lna,tab__lnc,tab__ndvi,tab__number_of_leaves,tab__plant_height,tab__rvi,tab__stem_diameter
2023,2023-07-21,122,122,2023_122,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/111,211/1689898383.jpg;images/111,211/1689905584.jpg;images/111,211/1689919984.jpg;images/111,211/1689927184.jpg",../sensor_data.csv,868.0,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,1-2-2,1.0,compact_separator,,,,,,,,,,122.0,,,
2023,2023-07-21,121,121,2023_121,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/111,211/1689898383.jpg;images/111,211/1689905584.jpg;images/111,211/1689919984.jpg;images/111,211/1689927184.jpg",../sensor_data.csv,910.0,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,1-2-1,1.0,compact_separator,,,,,,,,,,121.0,,,
2023,2023-07-20,623,623,2023_623,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230720.csv,csv,"images/514,611/1689811864.jpg;images/514,611/1689819064.jpg;images/514,611/1689833464.jpg;images/514,611/1689840664.jpg",../sensor_data.csv,1220.2,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,6-2-3,1.0,compact_separator,,,,,,,,,,623.0,,,
2023,2023-07-20,622,622,2023_622,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230720.csv,csv,"images/514,611/1689811864.jpg;images/514,611/1689819064.jpg;images/514,611/1689833464.jpg;images/514,611/1689840664.jpg",../sensor_data.csv,1112.9,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,6-2-2,1.0,compact_separator,,,,,,,,,,622.0,,,
2023,2023-07-20,621,621,2023_621,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230720.csv,csv,"images/514,611/1689811864.jpg;images/514,611/1689819064.jpg;images/514,611/1689833464.jpg;images/514,611/1689840664.jpg",../sensor_data.csv,1174.0,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,6-2-1,1.0,compact_separator,,,,,,,,,,621.0,,,
2023,2023-07-20,526,526,2023_526,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230720.csv,csv,"images/514,611/1689811864.jpg;images/514,611/1689819064.jpg;images/514,611/1689833464.jpg;images/514,611/1689840664.jpg",../sensor_data.csv,1124.4,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,5-2-6,1.0,compact_separator,,,,,,,,,,526.0,,,
2023,2023-07-20,525,525,2023_525,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230720.csv,csv,"images/514,611/1689811864.jpg;images/514,611/1689819064.jpg;images/514,611/1689833464.jpg;images/514,611/1689840664.jpg",../sensor_data.csv,1087.0,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,5-2-5,1.0,compact_separator,,,,,,,,,,525.0,,,
2023,2023-07-21,523,523,2023_523,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/511,411/1689898425.jpg;images/511,411/1689905625.jpg;images/511,411/1689920024.jpg;images/511,411/1689927224.jpg",../sensor_data.csv,1078.2,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,5-2-3,1.0,compact_separator,,,,,,,,,,523.0,,,
2023,2023-07-21,522,522,2023_522,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/511,411/1689898425.jpg;images/511,411/1689905625.jpg;images/511,411/1689920024.jpg;images/511,411/1689927224.jpg",../sensor_data.csv,991.4,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,5-2-2,1.0,compact_separator,,,,,,,,,,522.0,,,
2023,2023-07-21,521,521,2023_521,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/511,411/1689898425.jpg;images/511,411/1689905625.jpg;images/511,411/1689920024.jpg;images/511,411/1689927224.jpg",../sensor_data.csv,1008.8,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,5-2-1,1.0,compact_separator,,,,,,,,,,521.0,,,
2023,2023-07-21,423,423,2023_423,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/511,411/1689898425.jpg;images/511,411/1689905625.jpg;images/511,411/1689920024.jpg;images/511,411/1689927224.jpg",../sensor_data.csv,1070.67,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,4-2-3,1.0,compact_separator,,,,,,,,,,423.0,,,
2023,2023-07-21,422,422,2023_422,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/511,411/1689898425.jpg;images/511,411/1689905625.jpg;images/511,411/1689920024.jpg;images/511,411/1689927224.jpg",../sensor_data.csv,1093.4,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,4-2-2,1.0,compact_separator,,,,,,,,,,422.0,,,
2023,2023-07-21,421,421,2023_421,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/511,411/1689898425.jpg;images/511,411/1689905625.jpg;images/511,411/1689920024.jpg;images/511,411/1689927224.jpg",../sensor_data.csv,987.16,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,4-2-1,1.0,compact_separator,,,,,,,,,,421.0,,,
2023,2023-07-21,524,524,2023_524,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/514,611/1689898264.jpg;images/514,611/1689905464.jpg;images/514,611/1689919864.jpg;images/514,611/1689927064.jpg",../sensor_data.csv,1125.3,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,5-2-4,1.0,compact_separator,,,,,,,,,,524.0,,,
2023,2023-07-22,221,221,2023_221,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230722.csv,csv,"images/111,211/1689984784.jpg;images/111,211/1689991984.jpg;images/111,211/1690006384.jpg;images/111,211/1690013584.jpg",../sensor_data.csv,884.8,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,2-2-1,1.0,compact_separator,,,,,,,,,,221.0,,,
2023,2023-07-22,123,123,2023_123,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230722.csv,csv,"images/111,211/1689984784.jpg;images/111,211/1689991984.jpg;images/111,211/1690006384.jpg;images/111,211/1690013584.jpg",../sensor_data.csv,1014.8,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,1-2-3,1.0,compact_separator,,,,,,,,,,123.0,,,
2023,2023-07-22,122,122,2023_122,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230722.csv,csv,"images/111,211/1689984784.jpg;images/111,211/1689991984.jpg;images/111,211/1690006384.jpg;images/111,211/1690013584.jpg",../sensor_data.csv,868.0,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,1-2-2,1.0,compact_separator,,,,,,,,,,122.0,,,
2023,2023-07-21,123,123,2023_123,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023/202307/processed_data/growth_index(final)/20230721.csv,csv,"images/111,211/1689898383.jpg;images/111,211/1689905584.jpg;images/111,211/1689919984.jpg;images/111,211/1689927184.jpg",../sensor_data.csv,1014.8,/home/vaithees/PhD-Projects/Aasha_Christhuraj/HortiM3_RAMF_Complete/2023-2025 Tomato dataset/2023 Tomato Production Data .docx,table_1,1-2-3,1.0,compact_separator,,,,,,,,,,123.0,,,
