backbone,backbone_key,embedding_dim,protocol,fold,component_id,test_years,train_n,test_n,RMSE,MAE,R2,NRMSE,sMAPE
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,1,C0001,2023,168,39,260.6411354906603,230.8886193660982,-2.4529896445248043,0.37730332294536817,23.460167732846163
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,1,C0001,2023,168,39,293.49002603767053,265.6990653205101,-3.378204585431111,0.42485527799315365,28.228945212672325
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,1,C0001,2023,168,39,320.74307005867144,288.00221758003994,-4.229063569865366,0.4643067024589917,30.73391158870286
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,2,C0002,2024,195,12,456.91224811492,347.99387122507386,-1.0473566801563545,0.5007257513588164,56.64359553348424
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,2,C0002,2024,195,12,439.3526719838188,328.8513775925943,-0.893016736801733,0.4814823802562398,55.002653047034805
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,2,C0002,2024,195,12,337.77536794972764,307.16238061247384,-0.11888090270549845,0.37016478679422204,59.47194829686856
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,3,C0003,2024,195,12,307.2789405494816,233.74461055555628,-1.0991944359022523,0.3695832918975748,41.98663242537074
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,3,C0003,2024,195,12,408.9235622693255,349.6271663888909,-2.7176743398062833,0.4918375337005671,53.71470703136276
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,3,C0003,2024,195,12,214.66580607397316,145.7696397735912,-0.024502013149008794,0.25819177560555817,32.59772905061297
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,4,C0004,2024,195,12,496.4573982523654,440.743848611113,-3.720307453358063,0.6909829059296924,72.03162389125977
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,4,C0004,2024,195,12,561.4621218305394,512.8595383333329,-5.0373622957204605,0.7814582477320725,78.16190061860136
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,4,C0004,2024,195,12,357.73890269629123,282.68444981127465,-1.4509737167716605,0.4979107319567576,56.62559906708896
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,5,C0005,2024,195,12,253.13515595950093,226.37520117521714,-3.9936898189860104,0.6451768980744257,28.51890589975314
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,5,C0005,2024,195,12,218.49737803342902,189.88741720085594,-2.7205666788066423,0.5568940436687371,24.649766087751072
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,5,C0005,2024,195,12,219.2653094913243,186.54937271457607,-2.7467652636667688,0.5588513049351963,28.777787603021924
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,6,C0006,2024,195,12,689.9829008044312,635.0673691666698,-5.5425810140734555,0.9433341547440374,110.62521819662732
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,6,C0006,2024,195,12,536.4342467870084,463.6764616666699,-2.9546262509724954,0.7334047643479328,98.78329464646913
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,6,C0006,2024,195,12,475.42920319815977,380.4959430305507,-2.1063054749949712,0.6499995942170267,91.00930984492913
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,7,C0007,2024,195,12,403.94094517861726,338.027714629631,-0.8704175691937106,0.3876666972289461,60.41009840833208
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,7,C0007,2024,195,12,395.96588219591445,330.1416001851871,-0.797290807173556,0.38001293901602184,59.62649095245023
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,7,C0007,2024,195,12,338.1093942530606,286.40153018472563,-0.31044046107896994,0.3244874126692073,56.46783642024162
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,8,C0008,2024,195,12,524.1200731588075,486.7756765811991,-6.276621226932768,0.7254257067941973,63.58363106160837
