protocol,backbone,backbone_key,embedding_dim,folds,RMSE_mean,RMSE_std,MAE_mean,R2_mean,NRMSE_mean,sMAPE_mean
Full CMGT,DINOv3 ViT-S/16,dinov3_vits16,384,18,314.54358301102087,146.03779308997701,266.3337794735114,-0.29798368566003824,3417043735.7341576,41.23101362660821
Full CMGT,ConvNeXt-Tiny,convnext_tiny,768,18,323.79411490229563,162.3978219860318,279.86340080329813,-0.42430535299609595,3368557161.953504,42.542887505135894
Full CMGT,EfficientNet-B0,efficientnet_b0,1280,18,333.79692799443393,151.4373189676816,287.07880832308535,-0.7007327399854558,3456194610.281488,43.43183363235145
Full CMGT,DINOv2-Small,dinov2_small,384,18,341.4572629627503,173.25252892758627,294.70592297376504,-0.7752924726772846,3500349960.704172,43.79172537774293
Image Trajectory ExtraTrees,DINOv3 ViT-S/16,dinov3_vits16,384,18,381.9977698134606,168.71573797219804,337.4716083225078,-1.0569011978298049,4114812500.3415136,46.954888746731314
Image Trajectory ExtraTrees,DINOv2-Small,dinov2_small,384,18,396.3461334725322,156.30346576526006,347.78990152209656,-1.3589169276194872,4115495629.9947577,47.96384260766303
Image Trajectory ExtraTrees,ConvNeXt-Tiny,convnext_tiny,768,18,402.3296567112046,181.0665904621715,357.7617596017047,-1.3265686329407422,4115944444.8087897,48.71955996175499
Image Trajectory ExtraTrees,EfficientNet-B0,efficientnet_b0,1280,18,421.3915668891553,151.29899123802656,376.2979891759653,-1.8634628972697682,4114206685.582491,50.83132929496127
Static Image ExtraTrees,DINOv3 ViT-S/16,dinov3_vits16,384,18,385.2122933615967,161.1579096546865,339.7060976384934,-1.0835777867755234,4115261315.1646914,47.195433813836104
Static Image ExtraTrees,DINOv2-Small,dinov2_small,384,18,399.3351705501463,155.86049005815133,353.4579609982818,-1.4898573803700796,4115135574.4460855,48.335667860828465
Static Image ExtraTrees,ConvNeXt-Tiny,convnext_tiny,768,18,408.57398767273196,143.5658093207415,359.1182601251526,-1.9050435522338922,4116184481.869629,49.21796412278127
Static Image ExtraTrees,EfficientNet-B0,efficientnet_b0,1280,18,425.96327737315613,170.21058434391958,378.4760811224452,-1.879428264084679,4116064463.365132,50.82772821687023
