protocol,backbone,backbone_key,RMSE,MAE,R2,NRMSE,sMAPE,n_predictions,n_unique_groups
Full CMGT,DINOv3 ViT-S/16,dinov3_vits16,340.0284822617693,254.91938261233932,0.3681020712945966,0.1600134034173032,41.23094727147244,207,207
Full CMGT,ConvNeXt-Tiny,convnext_tiny,355.2157571429803,271.160131441734,0.3103943945348928,0.16716035630257897,42.78450529792162,207,207
Full CMGT,EfficientNet-B0,efficientnet_b0,371.3330804437699,297.91061933256617,0.24639526490199815,0.1747449790323623,45.98194250336914,207,207
Full CMGT,DINOv2-Small,dinov2_small,391.7224906299113,313.21394204279784,0.16136428806429792,0.1843399955905465,47.4156935479842,207,207
Image Trajectory ExtraTrees,DINOv3 ViT-S/16,dinov3_vits16,415.2923631166347,336.2817342227767,0.05740696225751629,0.19543170029018103,48.46444776168555,207,207
Image Trajectory ExtraTrees,DINOv2-Small,dinov2_small,424.5389967433742,348.5184531110467,0.014965330243625119,0.19978305729099963,49.633353851810405,207,207
Image Trajectory ExtraTrees,ConvNeXt-Tiny,convnext_tiny,436.87035508593976,352.8822833013192,-0.04308929668258865,0.20558604945220696,49.79619308521232,207,207
Image Trajectory ExtraTrees,EfficientNet-B0,efficientnet_b0,448.4362332463341,379.5004971850617,-0.09905070650474301,0.21102881564533368,52.844719941798765,207,207
Static Image ExtraTrees,DINOv3 ViT-S/16,dinov3_vits16,411.95843642716227,333.57493722573315,0.07248030516882542,0.19386279361278225,48.08903717822475,207,207
Static Image ExtraTrees,DINOv2-Small,dinov2_small,423.5660772670194,346.1287268972131,0.01947498086415933,0.19932521283153853,49.071991189517874,207,207
Static Image ExtraTrees,ConvNeXt-Tiny,convnext_tiny,442.3233468234456,371.18639890539094,-0.06929137533044227,0.20815216321103322,52.35713975711676,207,207
Static Image ExtraTrees,EfficientNet-B0,efficientnet_b0,457.0074443095826,377.3303066387532,-0.1414657550110221,0.21506232673392123,52.20911279754628,207,207
